xy.ID,test.name,test.address
1,Start Point,Lake and Racine Ave, Chicago, IL 60654 Ave
2,University of Illinois at Chicago - Student Center West,Student Residence Hall, Chicago, IL 60612
3,600 W Chicago,600 W Chicago Ave, Chicago, IL 60654
4,Chase Tower,Chase Tower, 111 E Wisconsin Ave, Milwaukee, WI 53202
5,7-Eleven @ Kingsbury and Ontario ,645 N Kingsbury St, Chicago, IL 60654
6,Feinberg Pavilion - Northwestern Medicine,251 E Huron St, Chicago, IL 60611
7,Chicago Midway Airport - Ticketing Employee Lounge,5700 S Cicero Ave, Chicago, IL
8,DeVry Chicago Campus (Students/Staff Only),3300 N Campbell Ave, Chicago, IL 60618
9,525 W Monroe,525 W Monroe St, Chicago, IL 60661
10,200 W Jackson (Tenants Only),200 W Jackson Blvd, Chicago, IL  60606
11,Allstate HQ (Tenants Only),3075 Sanders Rd, Northbrook, IL  60062
12,CVS @ 137 State,137 S State St, Chicago, IL 60603
13,West Suburban Medical Center,1 Erie St, Oak Park, IL 60302
14,Merchandise Mart,222 W Merchandise Mart Pl, Chicago, IL 60654
15,American Airlines Lounge (Employees Only),10000 Ohare Ave, Chicago, IL 60666
16,Medical College of Wisconsin,8701 W Watertown Plank Rd, Milwaukee, WI 53226
17,100 E Wisconsin,100 East Wisconsin, 100 E Wisconsin Ave, Milwaukee, WI 53202
18,O'Hare 3H Left,10000 Ohare Way, Chicago, IL 60666
19,CME Center,30 S Wacker Dr, Chicago, IL 60606
20,Illinois Center,111 E Upper Wacker Dr, Chicago, IL 60601
21,Schlitz Park Rivercenter,1555 N Rivercenter Dr, Milwaukee, WI 53212
22,US Foods (Employees Only),9377 W Higgins Rd, Rosemont, IL 60018
23,North Park University,3225 W Foster Ave, Chicago, IL 60625
24,Epic Burger West Loop,550 W Adams St, Chicago, IL 60661
25,University of Wisconsin-Milwaukee EMS Building,3200 N Cramer St, Milwaukee, WI 53211
26,311 S Wacker (Tenants Only),311 S Wacker Dr, Chicago, IL 60606
27,MacNeal Hospital,3249 S Oak Park Ave, Berwyn, IL 60402
28,General Growth Properties HQ (Employees Only),110 N Upper Wacker Dr, Chicago, IL 60606
29,University of Illinois at Chicago - College of Medicine ,835 S Wolcott Ave, Chicago, IL 60612
30,Allstate HQ (Tenants Only),3075 Sanders Rd, Northbrook, IL  60062
31,Prentice Women`s Hospital - Northwestern Medicine,250 E Superior St, Chicago, IL 60611
32,DePaul University - Schmitt Academic Center,2320 N Kenmore Ave, Chicago, IL 60614
33,University of Illinois at Chicago - Behavioral Sciences,1007 W Harrison Street, Chicago, IL 60607
34,CNA Center (Employees Only),333 S Wabash Ave, Chicago, IL 60604
35,University of Illinois at Chicago - Richard J Daley Library (Students/Staff Only),801 S Morgan Avenue, Chicago, IL 60607
36,Chicago Midway Airport - Southwest Employee Lounge,Midway International Airport, 5700 S Cicero Ave, Chicago, IL, USA
37,Schaumburg Towers,1400 American Ln, Schaumburg, IL 60196
38,Loyola Medical Center,2160 S 1st Ave, Maywood, IL 60153
39,7-Eleven @ Jackson and Desplaines,627 W Jackson Boulevard, Chicago, IL 60661
40,Walgreens Corporate Office (Employees Only),1435 Lake Cook Rd, Deerfield, IL 60015
41,Skokie Hospital / Northshore ,9600 Gross Point Road, Skokie IL 60076
42,DeVry Addison (Students/Staff Only), 1221 N Swift Rd, Addison, IL 60101
43,CVS @ 344 Hubbard,344 W Hubbard St, Chicago, IL 60654
44,100 E Wisconsin,100 East Wisconsin, 100 E Wisconsin Ave, Milwaukee, WI 53202
45,REI Building ,1460 N Halsted Street, Chicago, IL 60642
46,Peggy Notebaert Nature Museum,2430 N Cannon Dr, Chicago, IL 60614
47,MillerCoors HQ,250 S Wacker Dr, Chicago, IL 60606
48,Good Samaritan Hospital,3815 Highland Ave, Downers Grove, IL 60515
49,Moraine Valley Community College: Police Academy- Building B,9000 College Pkwy, Palos Hills, IL 60465, USA
50,O'Hare Terminal 2 - Gate F6,10000 W Ohare Ave, Chicago, IL 60666
51,Good Shepherd Hospital,450 IL-22, Barrington, IL 60010
